vehicle_type,Maker,year,quarter,year_quarter,registrations,registrations_last_quarter,QoQ_growth_%
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2025,4,2025-Q4,0,4,100
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2023,1,2023-Q1,0,,
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2023,2,2023-Q2,0,0,
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2023,3,2023-Q3,5,0,
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2023,4,2023-Q4,3,5,40
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2024,1,2024-Q1,1,3,66.67
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2024,2,2024-Q2,2,1,100
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2024,3,2024-Q3,0,2,100
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2024,4,2024-Q4,1,0,
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2025,1,2025-Q1,1,1,0
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2025,2,2025-Q2,4,1,300
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2025,3,2025-Q3,5,4,25
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2025,4,2025-Q4,0,5,100
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2023,1,2023-Q1,0,,
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2023,2,2023-Q2,0,0,
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2023,3,2023-Q3,30,0,
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2023,4,2023-Q4,31,30,3.33
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2024,1,2024-Q1,30,31,3.23
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2024,2,2024-Q2,9,30,70
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2024,3,2024-Q3,3,9,66.67
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2024,4,2024-Q4,0,3,100
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2025,1,2025-Q1,1,0,
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2025,2,2025-Q2,0,1,100
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2025,3,2025-Q3,1,0,
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2025,4,2025-Q4,0,1,100
2W,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),2023,1,2023-Q1,0,,
2W,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),2023,2,2023-Q2,0,0,
2W,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),2023,3,2023-Q3,0,0,
2W,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),2023,4,2023-Q4,1,0,
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2023,1,2023-Q1,0,,
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2023,2,2023-Q2,1,0,
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2023,3,2023-Q3,9,1,800
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2023,4,2023-Q4,3,9,66.67
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2024,1,2024-Q1,2,3,33.33
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2024,2,2024-Q2,3,2,50
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2024,3,2024-Q3,3,3,0
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2024,4,2024-Q4,0,3,100
2W,ANVITA AUTO TECH WORKS PVT LTD,2023,1,2023-Q1,9,,
2W,ANVITA AUTO TECH WORKS PVT LTD,2023,2,2023-Q2,11,9,22.22
2W,ANVITA AUTO TECH WORKS PVT LTD,2023,3,2023-Q3,5,11,54.55
2W,ANVITA AUTO TECH WORKS PVT LTD,2023,4,2023-Q4,1,5,80
2W,ANVITA AUTO TECH WORKS PVT LTD,2024,1,2024-Q1,2,1,100
2W,ANVITA AUTO TECH WORKS PVT LTD,2024,2,2024-Q2,2,2,0
2W,ANVITA AUTO TECH WORKS PVT LTD,2024,3,2024-Q3,1,2,50
2W,ANVITA AUTO TECH WORKS PVT LTD,2024,4,2024-Q4,0,1,100
2W,ANVITA AUTO TECH WORKS PVT LTD,2025,1,2025-Q1,2,0,
2W,ANVITA AUTO TECH WORKS PVT LTD,2025,2,2025-Q2,0,2,100
2W,ANVITA AUTO TECH WORKS PVT LTD,2025,3,2025-Q3,4,0,
2W,ANVITA AUTO TECH WORKS PVT LTD,2025,4,2025-Q4,0,4,100
2W,ASHNNI MOTORS PVT LTD,2024,1,2024-Q1,0,,
2W,ASHNNI MOTORS PVT LTD,2024,2,2024-Q2,0,0,
2W,ASHNNI MOTORS PVT LTD,2024,3,2024-Q3,1,0,
2W,ASHNNI MOTORS PVT LTD,2024,4,2024-Q4,4,1,300
2W,ASHNNI MOTORS PVT LTD,2025,1,2025-Q1,0,4,100
2W,ASHNNI MOTORS PVT LTD,2025,2,2025-Q2,2,0,
2W,ASHNNI MOTORS PVT LTD,2025,3,2025-Q3,2,2,0
2W,ASHNNI MOTORS PVT LTD,2025,4,2025-Q4,0,2,100
2W,ATHER ENERGY LTD,2023,1,2023-Q1,0,,
2W,ATHER ENERGY LTD,2023,2,2023-Q2,0,0,
2W,ATHER ENERGY LTD,2023,3,2023-Q3,0,0,
2W,ATHER ENERGY LTD,2023,4,2023-Q4,0,0,
2W,ATHER ENERGY LTD,2024,1,2024-Q1,0,0,
2W,ATHER ENERGY LTD,2024,2,2024-Q2,0,0,
2W,ATHER ENERGY LTD,2024,3,2024-Q3,0,0,
2W,ATHER ENERGY LTD,2024,4,2024-Q4,0,0,
2W,ATHER ENERGY LTD,2025,1,2025-Q1,0,0,
2W,ATHER ENERGY LTD,2025,2,2025-Q2,0,0,
2W,ATHER ENERGY LTD,2025,3,2025-Q3,0,0,
2W,ATHER ENERGY LTD,2025,4,2025-Q4,0,0,
2W,ATOMEX E-MOTORS INDIA PVT LTD,2023,1,2023-Q1,1,,
2W,ATOMEX E-MOTORS INDIA PVT LTD,2023,2,2023-Q2,0,1,100
2W,ATOMEX E-MOTORS INDIA PVT LTD,2023,3,2023-Q3,0,0,
2W,ATOMEX E-MOTORS INDIA PVT LTD,2023,4,2023-Q4,0,0,
2W,ATUMOBILE PVT LTD,2023,1,2023-Q1,27,,
2W,ATUMOBILE PVT LTD,2023,2,2023-Q2,34,27,25.93
2W,ATUMOBILE PVT LTD,2023,3,2023-Q3,19,34,44.12
2W,ATUMOBILE PVT LTD,2023,4,2023-Q4,25,19,31.58
2W,ATUMOBILE PVT LTD,2024,1,2024-Q1,9,25,64
2W,ATUMOBILE PVT LTD,2024,2,2024-Q2,13,9,44.44
2W,ATUMOBILE PVT LTD,2024,3,2024-Q3,7,13,46.15
2W,ATUMOBILE PVT LTD,2024,4,2024-Q4,5,7,28.57
2W,ATUMOBILE PVT LTD,2025,1,2025-Q1,7,5,40
2W,ATUMOBILE PVT LTD,2025,2,2025-Q2,3,7,57.14
2W,ATUMOBILE PVT LTD,2025,3,2025-Q3,12,3,300
