sl_no,manufacturer,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,vehicle_type,year
294,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),22.0,27.0,12.0,24.0,19.0,19.0,18.0,15.0,21.0,33.0,16.0,20.0,246.0,2W,2024
295,H-D MOTOR COMPANY INDIA PVT LTD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2W,2024
296,HERO ELECTRIC VEHICLE PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2W,2024
297,HERO ELECTRIC VEHICLES PVT. LTD,419.0,327.0,321.0,279.0,279.0,283.0,286.0,195.0,160.0,151.0,158.0,58.0,0.0,2W,2024
298,HERO HONDA MOTORS  LTD,3.0,7.0,2.0,0.0,3.0,43.0,1.0,9.0,0.0,0.0,1.0,0.0,69.0,2W,2024
299,HERO MOTOCORP LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2W,2024
300,HOMFEEL VEGH AUTOMOBILES PVT LTD,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,8.0,2W,2024
301,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2W,2024
302,HONGKONG WANGYUAN (IMPORTER:POWERTRANS MOBILITY),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2024
303,HONGKONG YIXING (IMPORTER: ADMS MARKETING),24.0,23.0,29.0,18.0,12.0,9.0,44.0,26.0,46.0,25.0,40.0,22.0,318.0,2W,2024
