vehicle_type,Maker,date,year,month,registrations,registrations_last_year,YoY_growth_%,quarter,year_quarter,year_quarter_quarterly,registrations_last_quarter,QoQ_growth_%
2W,SUPERECO AUTOMOTIVE CO,2023-01-01 00:00:00,2023,1,4,,,1,2023-Q1,2023-Q1,,
2W,SUZUKI JAPAN,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,SUZUKI MOTORCYCLE INDIA PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,TATA MOTORS PASSENGER VEHICLES LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,TBL ENTERPRISE,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,THUKRAL ELECTRIC BIKES PVT LTD,2023-01-01 00:00:00,2023,1,5,,,1,2023-Q1,2023-Q1,,
2W,TORK MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,62,,,1,2023-Q1,2023-Q1,,
2W,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,2023-01-01 00:00:00,2023,1,72,,,1,2023-Q1,2023-Q1,,
2W,TUNWAL E MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,6,,,1,2023-Q1,2023-Q1,,
2W,TVS MOTOR COMPANY LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,TYST DRIVE INDIA PVT LTD,2023-01-01 00:00:00,2023,1,3,,,1,2023-Q1,2023-Q1,,
2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,2023-01-01 00:00:00,2023,1,157,,,1,2023-Q1,2023-Q1,,
2W,WARIVO MOTOR INDIA PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WHITE CARBON MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,9,,,1,2023-Q1,2023-Q1,,
2W,WUXI DONGMA (IMPORTER: DYNAM PRECISION),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),2023-01-01 00:00:00,2023,1,18,,,1,2023-Q1,2023-Q1,,
2W,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI SAIGE (IMPORTER: ELECTRO-TECH),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI SAIGE (IMPORTER: NGAGE IMPEX),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI SAIGE (IMPORTER: WARIVO MOTOR),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),2023-01-01 00:00:00,2023,1,11,,,1,2023-Q1,2023-Q1,,
2W,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),2023-01-01 00:00:00,2023,1,5,,,1,2023-Q1,2023-Q1,,
2W,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI TENGHUI (IMPORTER: FEZORA INDIA),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
